telecast,audience,year,source
Beijing Olympics Opening Ceremony,593,2008,http://web.archive.org/web/20090514025053/http://www.timesonline.co.uk/tol/sport/olympics/article6256063.ece
"World Cup Final, Italy vs. France",260,2006,http://www.independent.co.uk/sport/football/news-and-comment/why-fifas-claim-of-one-billion-tv-viewers-was-a-quarter-right-438302.html
British Royal Wedding,161,2011,http://www.sportingintelligence.com/2011/05/08/revealed-royal-wedding%E2%80%99s-real-tv-audience-closer-to-300m-than-2bn-because-sport-not-royalty-reigns-080501/
Cricket World Cup Semi-Final,135,2011,http://articles.economictimes.indiatimes.com/2011-04-07/news/29392442_1_peak-rating-highest-rating-star-cricket
Super Bowl XLVI,111.3,2012,
M*A*S*H finale,105.9,1983,
Champions League Final,98,2008,
Cheers finale,84.4,1993,
Seinfeld finale,76.3,1998,
"Friends, ""The One After the Superbowl""",52.9,1996,http://articles.latimes.com/2004/may/08/entertainment/et-collins8
"I Love Lucy, ""Lucy Goes to the Hospital""",44,1953,http://books.google.com/books?id=ZwX7qqzVeF0C&pg=PT84&dq=%22lucy+goes+to+the+hospital%22+ratings&hl=en&ei=THdWTqT3Bev9sQKIoeTRDA&sa=X&oi=book_result&ct=result&resnum=1&sqi=2&ved=0CDMQ6AEwAA#v=onepage&q=%22lucy%20goes%20to%20the%20hospital%22%20ratings&f=false
Breaking Bad finale,10.3,2013,http://insidetv.ew.com/2013/09/30/breaking-bad-series-finale-ratings/